Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Saudi Arabia,SAU,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,13739.0061105314,14016.7926700664,21336.2569325096,24599.0710124717,28856.9705840618,34129.1314309179,37741.133334053,32680.693975802,36612.5602776242,37275.9768915553,33535.9434714117,35516.1569761285,35380.4703231464,33898.2650811833,25215.5193014899,19879.5180780445,17857.5293406781,15248.7626868654,16969.6530941405,15129.5744765427,16403.8935196748,15700.2417648352,17453.4124484581,19427.8578697857,19606.3988338284,18815.7738940915,18452.2250268934,18070.4018531975,18162.0466807963,18009.3143241699,18178.0491521116,17137.7202699684,17690.667661002,17032.3631103121,16094.7060623874,17384.8003795546,18219.8637993451,18683.3838319266,18669.6202875056,18496.3311742545,19117.9356513087,18202.6991630007,18568.3698643145,19813.2589221404,20249.8045023442,20175.5579524664,20327.6749584593,20627.9269288204,20503.3817729956,19946.9553702638,20067.778733703,19801.8742165029,18691.2474247666
Bahrain,BHR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21450.5527812046,19537.9587081644,17507.8734242864,18131.0725471132,18534.2249159413,17139.0701051307,16779.7366105066,17885.0193262292,18469.8463061012,17925.0719705653,18160.169359025,19651.3378518219,20432.1238850311,22497.0363758203,21894.5445475634,22185.4956273415,22500.0709757949,22561.7924046242,22919.3939628375,23047.0707154391,23243.5908841725,22697.6169188068,22258.1949327006,22335.93241802,22422.689937178,22343.537394919,22069.2804186367,22111.6800768009,21833.4119773416,21057.4207733626,20982.3404804452,20774.2449354934,21187.5418849515,22078.9904795856,22676.6258722851,22634.0856475674,22552.6845694088,22445.4525574091,21824.2062303419,21317.3344886284,19514.874877154
"Egypt, Arab Rep.",EGY,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,762.134112678176,779.991330588905,788.719859975298,848.758818209098,921.736201202968,941.986720050302,964.036461198107,946.974108053388,908.370743410571,933.024606420189,962.116550454872,978.526754026694,986.339591395389,998.962130899113,992.699476220686,1057.8456530712,1171.76970017775,1248.54385486452,1325.18865244892,1352.94785463381,1452.59824038584,1521.02525287032,1629.89724922859,1669.34576751723,1784.66399285283,1838.57570759634,1874.67183609009,1894.50785200304,1945.30856384925,1989.27414992244,2051.61225827239,2028.09189863045,2073.94023696277,2090.84043014886,2130.67568021767,2185.302174992,2248.59423984431,2324.91660959771,2406.04523397927,2501.9818673338,2610.47649769732,2651.86551548459,2664.64201103455,2699.10106544613,2758.56642773719,2830.35013833779,2970.94475444297,3126.27499807474,3290.94074045175,3381.11537648388,3485.28219813521,3472.59829308025,3472.1482980304,3468.46882825601,3489.86412365968,3562.93265798423,3638.89492738577,3712.60365347781,3831.19983491505,3964.98712900344,4028.42091976109
"Iran, Islamic Rep.",IRN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2392.80515099325,2598.63683943758,2749.54924391417,2873.31228635935,3057.03140545246,3490.54991718697,3781.13173327219,4109.58165600545,4593.08691557673,5200.76317379369,5627.63752558924,6269.84175597748,6984.73434868293,7378.49921320486,7643.43328603446,7250.33676626912,8249.10774567995,7673.42448440322,6390.31020288561,5525.34432791582,3868.48830623532,3527.1525412423,4300.13352500908,4480.61788357324,3924.812813718,3850.0111961613,3322.28765996977,3216.21639918916,2932.90180638936,3010.7125609661,3333.44439263976,3661.40978787253,3695.64688927536,3674.6748770514,3568.71181250915,3599.60481123739,3734.8748014401,3703.46555972539,3734.56430721545,3721.23925314539,3888.05097676569,3872.51681629176,4103.11068115518,4405.69245793639,4543.58838665839,4634.01061841235,4811.0542398252,5146.41262315521,5103.22795071122,5097.7910860143,5332.10805650613,5409.20224277165,4946.53612777298,4876.12450619163,5035.81602207171,4904.32731485169,5486.40796400736,5614.11787565485,5203.16947029808,4785.0278763552,4883.60086458142
Iraq,IRQ,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,1265.56061589898,1262.33068957097,1275.46697747081,1299.73949401571,1304.55595113253,1318.51131761492,1482.08681068503,1614.05687088707,1831.08142291119,1806.97214028573,2049.62615087953,2402.92430209348,2911.17781980051,2809.55219893513,2827.83566183898,2394.5672761551,2300.80621304795,2279.42507445283,2332.29436818783,2494.85849786195,2441.04227834882,2311.67391878786,3559.39582254466,1246.06014913836,1606.09669494185,2031.60331284898,2046.82202449521,2026.93666454829,2181.70275541333,2564.05670056135,3352.30783720247,3822.83365533942,4337.41717160904,4284.25989761285,3818.84536842207,2351.71273723413,3515.346792408,3493.34474229473,3619.88590634195,3626.94588448514,3859.75817355176,3909.29158217552,4052.06261269704,4218.38236927388,4630.73652175022,4793.53939165684,4627.83481807872,4688.31801743466,5183.40896909621,4961.40450824501,4975.38104844748,5154.27684783576,4247.81441235944
Israel,ISR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25179.9699253633,26008.2785902626,26362.1535409243,26847.7314466716,27107.2210751631,28747.9291094843,28106.945117755,27492.5619980346,27310.9659417737,28151.2718888462,28809.642505737,29939.9371867502,31207.6019852719,31718.4891470531,31323.3120124407,32504.7133534789,33678.1314599762,33995.4276914732,34960.9433583276,35710.8862671424,35808.4364289727,36680.3221310195,37550.727685517,38301.4536594719,38995.2304525406,37481.133704493
"Yemen, Rep.",YEM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2042.54138218283,2066.58728739525,2123.64813489812,2098.49223139526,2135.61693823427,2163.5254415384,2182.44370681281,2223.81112348669,2289.37246128523,2309.69876661507,2383.7480841131,2404.08647368392,2427.52480257208,2446.68431814425,2471.61701718373,2536.18883521019,2543.20802381471,2554.65304680791,2574.10098480529,2599.49001066541,2722.52139763326,2311.20508186259,2302.14829013482,2348.51758494916,2282.69186795947,1601.83006281162,1415.83937562859,1311.84341890845,1290.92523850809,..,..
Jordan,JOR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2698.7216542716,2847.33003609458,3179.84069136738,3732.62711062369,4019.43228745228,4543.92066642279,4676.01899689233,4387.5692396491,4390.09783102226,4101.00510815978,4161.38998292516,4099.66613438459,4000.26385966997,3421.07250425944,3252.28352314244,3133.5850148879,3387.60815003731,3350.9915996956,3351.05356368774,3420.42524372758,3385.56517082753,3414.12222790676,3449.06968222641,3503.76845505039,3587.82669589595,3708.25257262257,3848.82356021958,3923.03384438029,4147.53736166274,4341.18871772653,4515.59113367412,4678.83506322845,4786.74845134374,4781.60509029776,4644.16936960814,4521.40808017274,4386.74509536314,4274.54790896321,4221.08951680769,4164.10876894014,4119.25211453262,4105.72095129719,4109.75242860846,4133.54980467597,4028.96300716262
Kuwait,KWT,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34712.3110496171,34472.6275323831,33602.646784491,32534.0127940797,29978.8254513386,29951.5666121227,29185.6139747206,29590.9720887608,34322.2468233597,37168.5540386258,39849.5969123594,40976.6768617257,41170.670793817,39777.2869071191,34800.308826176,32035.378475051,33166.919618599,33455.238969989,32136.1331737586,30857.1604177538,29869.552753237,29801.2380209993,27702.1878533581,27496.8461885443,27156.4753544053,24429.2204624852
Lebanon,LBN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5073.66187164267,2875.11774462,3538.56811455796,5073.50740299999,5610.92982155982,5889.51251555823,6072.7319825314,6235.30459196913,6780.88264541831,6762.95800798991,6944.26493801398,6807.77859776152,6728.55030546793,6727.411986054,6639.60261183483,6531.86340664397,6692.1378470225,6682.6515647035,6699.23128226931,7311.31726750737,7978.74477747395,8706.91547603542,9135.50068541004,8773.73831860929,8451.41288141453,8216.50045646808,7950.17189742762,7663.92023216349,7574.60354496752,7516.1944471095,7345.13405424466,6823.10408513478,5382.33712452363
